****Estoy modificando un archivo de texto, en este caso, a trav√©s de nano desde la consola de ubuntu

dir	descrip	tam dir
 Directorio de D:\Financiera\2010\CNBV\ult entrega\layout 1 v4 20100831	" 1 archivos      6,618,708 bytes"	0.006
 Directorio de D:\Financiera\2010\CNBV\ult entrega\layout 1 v4 20100731	" 1 archivos      6,617,883 bytes"	0.006
 Directorio de D:\CalibracionesHipotecas2014\Resultados\M1	" 8 archivos      6,606,937 bytes"	0.006
 Directorio de D:\respaldo maquina on M825016\RAR\BBVA Bancomer Junio 2007 en 150.100.118.167\Anexos\Scoring	" 7 archivos      6,596,061 bytes"	0.006
 Directorio de D:\TDC2014\Entrega	" 3 archivos      6,590,829 bytes"	0.006
 Directorio de D:\GDrive\ST	" 9 archivos      6,574,000 bytes"	0.006
 Directorio de D:\Calibraciones2012\documentos	" 4 archivos      6,523,013 bytes"	0.006
 Directorio de D:\Calibraciones TDC 2013\Parametr°a	"13 archivos      6,521,332 bytes"	0.006
 Directorio de D:\GpoInnova2014\papers	" 7 archivos      6,506,897 bytes"	0.006
 Directorio de D:\RAR\Validaciones	"11 archivos      6,506,185 bytes"	0.006
 Directorio de D:\respaldo maquina on M825016\2007\QUITAS\QUITAS FINAL	" 5 archivos      6,467,584 bytes"	0.006
 Directorio de D:\respaldo maquina on M825016\Parametros 2008\IMPACTOS TODAS LAS CARTERAS\consumo\con curvas org y medias esc2	" 5 archivos      6,446,080 bytes"	0.006
 Directorio de D:\Personal hga\libros\Quantitative Finance	" 2 archivos      6,428,671 bytes"	0.006
 Directorio de D:\GDrive\multi\libro base	" 3 archivos      6,390,743 bytes"	0.006
 Directorio de D:\respaldo maquina on M825016\2007\ACUMULADA 2007\SEVERIDAD\entregable_correc\bonificaciones_quitas	" 3 archivos      6,347,776 bytes"	0.006
 Directorio de D:\respaldo maquina on M825016\severidad	"46 archivos      6,317,734 bytes"	0.006
 Directorio de D:\GDrive\AHDN	" 1 archivos      6,279,887 bytes"	0.006
 Directorio de D:\TDC2014\Calibraciones Reactivas TSM\Finanzia	"11 archivos      6,275,784 bytes"	0.006
 Directorio de D:\Cuaderno Par†metros\respaldo	" 2 archivos      6,262,784 bytes"	0.006
 Directorio de D:\hipotecas\AC\anterior	" 2 archivos      6,210,632 bytes"	0.006
 Directorio de D:\PR\alex	" 1 archivos      6,146,938 bytes"	0.006
 Directorio de D:\GrupoInnovaci¢n\BasesLAC	" 4 archivos      6,131,712 bytes"	0.006
 Directorio de D:\PDI	" 4 archivos      6,119,373 bytes"	0.006
 Directorio de D:\Calibraciones TDC 2013\Matrices de Transici¢n\info_saul	" 8 archivos      6,075,874 bytes"	0.006
 Directorio de D:\SAS Courses	" 3 archivos      6,063,377 bytes"	0.006
 Directorio de D:\GDrive\multi\notas	" 1 archivos      6,059,172 bytes"	0.006
 Directorio de D:\GDrive\tv	" 1 archivos      6,053,625 bytes"	0.006
 Directorio de D:\Multivariada	" 3 archivos      6,028,779 bytes"	0.006
 Directorio de D:\RAR2010\Severidad Tarjetas\2010	" 2 archivos      6,026,287 bytes"	0.006
 Directorio de D:\Finanzia2011\2011\Resultados\pd scorecard_behavior	" 2 archivos      6,002,688 bytes"	0.006
 Directorio de D:\respaldo maquina on M825016\Parametros 2008\TDC NEGOCIO	" 4 archivos      5,948,825 bytes"	0.006
 Directorio de D:\respaldo maquina on M825016\AUDITORIAS\presentaciones	" 3 archivos      5,912,108 bytes"	0.006
 Directorio de D:\TDC_RARCIERRE2011\BHS\Finanzia	"23 archivos      5,893,092 bytes"	0.005
 Directorio de D:\CÇdulas y AC\Ac	"12 archivos      5,862,089 bytes"	0.005
 Directorio de D:\RAR2010\Documentos Final Jun2010	"10 archivos      5,859,643 bytes"	0.005
 Directorio de D:\Calibraciones TDC 2013\ACEspa§a	" 6 archivos      5,839,296 bytes"	0.005
 Directorio de D:\respaldo maquina on M825016\2007\TDC NEGOCIOS\ABRIL_07\neg_abr07\CATALOGOS	"13 archivos      5,792,768 bytes"	0.005
 Directorio de D:\respaldo maquina on M825016\RAR\BBVA Bancomer Junio 2007 en 150.100.118.167	"26 archivos      5,762,048 bytes"	0.005
 Directorio de D:\Venta de Cartera\EjAnterior	" 5 archivos      5,751,559 bytes"	0.005
 Directorio de D:\BackTesting BIS 2014\Revisi¢n Mayo2015	" 4 archivos      5,713,004 bytes"	0.005
 Directorio de D:\BackTesting BIS 2014\Validaci¢n	" 2 archivos      5,697,849 bytes"	0.005
 Directorio de D:\BackTesting BIS 2014\Entrega	" 7 archivos      5,669,307 bytes"	0.005
 Directorio de D:\Calibraciones2012\Modelo Actual\Finanzia_sinAC	"10 archivos      5,633,144 bytes"	0.005
 Directorio de D:\CalibracionesHipotecas2014\Resultados\M3	" 8 archivos      5,564,101 bytes"	0.005
 Directorio de D:\BackTesting BIS 2014\Validaci¢n\ejemplo espa§a	" 1 archivos      5,545,940 bytes"	0.005
 Directorio de D:\Personal hga\usb	" 2 archivos      5,540,352 bytes"	0.005
 Directorio de D:\Venta de Cartera Hipotecaria\Costos	" 9 archivos      5,531,501 bytes"	0.005
 Directorio de D:\Bancarias2011\2011\Resultados\hga\pd\pd_scorecard_behavior	" 2 archivos      5,528,576 bytes"	0.005
 Directorio de D:\respaldo maquina on M825016\2007\ACUMULADA 2007\presentaciones	" 4 archivos      5,466,112 bytes"	0.005
 Directorio de D:\BackTesting BIS 2014\4nov	" 2 archivos      5,465,987 bytes"	0.005
 Directorio de D:\BackTesting BIS 2014\Entrega con validaciones	" 1 archivos      5,434,657 bytes"	0.005
 Directorio de D:\ComitÇ TyM	" 3 archivos      5,425,222 bytes"	0.005
 Directorio de D:\respaldo maquina on M825016\2007\TDC NEGOCIOS\SEV3	" 7 archivos      5,399,040 bytes"	0.005
 Directorio de D:\respaldo maquina on M825016\2007\ACUMULADA 2007\REEST2006	" 3 archivos      5,398,528 bytes"	0.005
 Directorio de D:\respaldo maquina on M825016\2007\QUITAS	" 6 archivos      5,312,512 bytes"	0.005
 Directorio de D:\Documentos Contingencia	" 4 archivos      5,277,492 bytes"	0.005
 Directorio de D:\GravityHipotecasV2\SVM (Ejemplos y documentaci¢n)\Entrega ejemplos_gravity(c¢digos R)	" 2 archivos      5,239,307 bytes"	0.005
 Directorio de D:\ArreglaScorecards\Prelim	" 3 archivos      5,224,718 bytes"	0.005
 Directorio de D:\GDrive\ArreglaScorecards\Prelim	" 3 archivos      5,224,718 bytes"	0.005
 Directorio de D:\NvosModelosSP\Caso Pr†ctico PEMEX	" 6 archivos      5,209,973 bytes"	0.005
 Directorio de D:\respaldo maquina on M825016\2007\TDC NEGOCIOS\ABRIL_07\neg_abr07\impactos	"13 archivos      5,208,576 bytes"	0.005
 Directorio de D:\respaldo maquina on M825016\2007\TDC NEGOCIOS\SEV_PREFINAL\impactos	"13 archivos      5,208,576 bytes"	0.005
 Directorio de D:\respaldo maquina on M825016\2007\ACUMULADA 2007\impactos\entrega_ago\IMPACTOS FINALES TOT	" 2 archivos      5,154,304 bytes"	0.005
 Directorio de D:\PD's por score\Entrega CNBV	" 2 archivos      5,126,144 bytes"	0.005
 Directorio de D:\NuevoEjeCalibConsumo2013\exceles\ac\m0	"16 archivos      5,120,857 bytes"	0.005
 Directorio de D:\GDrive\NuevoEjeCalibConsumo2013\exceles\ac\m0	"16 archivos      5,119,071 bytes"	0.005
 Directorio de D:\GDrive\NuevoEjeCalibConsumo2013\exceles\m0	"16 archivos      5,088,333 bytes"	0.005
 Directorio de D:\NuevoEjeCalibConsumo2013\exceles\m0	"16 archivos      5,088,333 bytes"	0.005
 Directorio de D:\Respaldo Jes£s\Estimacion_Final\Entregables\Documentacion\pdf	" 6 archivos      4,968,416 bytes"	0.005
 Directorio de D:\prueba1	" 4 archivos      4,955,343 bytes"	0.005
 Directorio de D:\Contingencia 2011\Ajuste al Ciclo\2010	" 1 archivos      4,937,216 bytes"	0.005
 Directorio de D:\Negocio2010\2009\Impactos	" 2 archivos      4,913,664 bytes"	0.005
 Directorio de D:\Personal hga\sat	"11 archivos      4,874,359 bytes"	0.005
 Directorio de D:\RAR3_2012\Documentaci¢n Final	"14 archivos      4,828,541 bytes"	0.004
 Directorio de D:\BHS Transaccional\Documentos	" 4 archivos      4,826,024 bytes"	0.004
 Directorio de D:\Bancarias2012\ventas\15-JULIO-2011	" 1 archivos      4,820,954 bytes"	0.004
 Directorio de D:\Financiera\BasesMar09\ReportesRiesgos	" 3 archivos      4,816,066 bytes"	0.004
 Directorio de D:\Negocio2012\R\PD	" 4 archivos      4,801,024 bytes"	0.004
 Directorio de D:\respaldo maquina on M825016\2007\analisis nuevas bd	" 2 archivos      4,788,736 bytes"	0.004
 Directorio de D:\Finanzia2011\2011\Resultados	" 5 archivos      4,761,088 bytes"	0.004
 Directorio de D:\respaldo maquina on M825016\Contingencia dany\reest\reest_bnc_fnz	"18 archivos      4,745,878 bytes"	0.004
 Directorio de D:\TDC2014\Calibraciones Reactivas\Alex\3. Excel Finanzia	"15 archivos      4,692,902 bytes"	0.004
 Directorio de D:\Bancarias2012\Resultados\PD	" 3 archivos      4,680,704 bytes"	0.004
 Directorio de D:\respaldo maquina on M825016\2007\TDC NEGOCIOS\SEV1	" 6 archivos      4,680,192 bytes"	0.004
 Directorio de D:\Calibraciones Hip 2012	" 7 archivos      4,648,408 bytes"	0.004
 Directorio de D:\Bancarias2012\Resultados\PD Limp Canc	" 2 archivos      4,640,256 bytes"	0.004
 Directorio de D:\Bancarias2012\Resultados\PDv2	" 2 archivos      4,593,664 bytes"	0.004
 Directorio de D:\RAR\Documentos\Final\DOCUMENTOSMETODOLOGIAS2010	"10 archivos      4,573,696 bytes"	0.004
 Directorio de D:\GravityHipotecasV2\SVM (Ejemplos y documentaci¢n)\Entrega ejemplos_gravity(c¢digos R)\Ejemplo Segmento 1	" 5 archivos      4,547,822 bytes"	0.004
 Directorio de D:\NuevoEjeCalibConsumo2013\exceles\m1	"17 archivos      4,495,411 bytes"	0.004
 Directorio de D:\Entrega Nayeli\MODELO TOY_GLOBAL	" 8 archivos      4,424,293 bytes"	0.004
 Directorio de D:\respaldo maquina on M825016\Cod varios\PD_REEST_FINANZIA	" 1 archivos      4,396,032 bytes"	0.004
 Directorio de D:\CalibracionesHipotecas2014\Parametr°as\Herramientas Reactivas	" 4 archivos      4,393,033 bytes"	0.004
 Directorio de D:\Financiera\LIQUIDACIONES	" 5 archivos      4,388,864 bytes"	0.004
 Directorio de D:\Personal hga\libros\Optimizaci¢n NumÇrica	" 1 archivos      4,381,046 bytes"	0.004
 Directorio de D:\RAR2010\Severidad Tarjetas	" 3 archivos      4,378,112 bytes"	0.004
 Directorio de D:\Financiera\Bases SAS\ABR08	" 5 archivos      4,375,552 bytes"	0.004
 Directorio de D:\Calibraciones2012\Parametr°a\£ltima versi¢n astrid ene2013	"12 archivos      4,357,445 bytes"	0.004
 Directorio de D:\respaldo maquina on M825016\contingencia\Nueva carpeta	"15 archivos      4,310,292 bytes"	0.004
 Directorio de D:\CÇdulas y AC\CÇdulas	" 9 archivos      4,292,690 bytes"	0.004
 Directorio de D:\Bancarias2011\2011\Resultados\roc°o	" 5 archivos      4,279,993 bytes"	0.004
 Directorio de D:\GDrive\Nueva carpeta\CafÇ Tacuva	" 5 archivos      4,256,418 bytes"	0.004
 Directorio de D:\TDC2014\Entrega\Exceles\PDs\Banco	"11 archivos      4,230,692 bytes"	0.004
 Directorio de D:\GravityHipotecasV2\Nuevo MÇtodo Segmentaci¢n\Proyecto	" 2 archivos      4,192,911 bytes"	0.004
 Directorio de D:\Personal hga\libros\Divulgaci¢n Cient°fica	" 8 archivos      4,191,370 bytes"	0.004
 Directorio de D:\respaldo maquina on M825016\2007\ACUMULADA 2007\PD\ENTREGA_AGO\docs	" 2 archivos      4,189,184 bytes"	0.004
 Directorio de D:\respaldo maquina on M825016\2007\ACUMULADA 2007\PD\FRP	" 7 archivos      4,156,928 bytes"	0.004
 Directorio de D:\respaldo maquina on M825016\2007\ACUMULADA 2007\SEVERIDAD\entrega_ago\EJERCICIO EAD 2000 final\curvas con eje ead-ant\quita	" 2 archivos      4,135,424 bytes"	0.004
 Directorio de D:\Negocio2012\MicroNegocios	" 4 archivos      4,129,280 bytes"	0.004
 Directorio de D:\Calibraciones TDC 2013\An†lisisEjesAC	"13 archivos      4,106,902 bytes"	0.004
 Directorio de D:\TDC_RARCIERRE2011\Reactivas\NvoModelo\Banco	"12 archivos      4,090,542 bytes"	0.004
 Directorio de D:\Infonacot\Producto N¢mina BBVA	" 2 archivos      4,082,688 bytes"	0.004
 Directorio de D:\ArreglaScorecards	"10 archivos      4,062,686 bytes"	0.004
 Directorio de D:\GDrive\ArreglaScorecards	"10 archivos      4,056,833 bytes"	0.004
 Directorio de D:\B\Contingencia_Hipotecario\DOCS	"12 archivos      4,031,106 bytes"	0.004
 Directorio de D:\Calibraciones TDC 2013\dp	" 1 archivos      4,014,192 bytes"	0.004
 Directorio de D:\GDrive\libros\Alatriste	" 6 archivos      3,961,177 bytes"	0.004
 Directorio de D:\Financiera\BasesMar09\Riesgos 31 ENE\Riesgos	" 9 archivos      3,958,272 bytes"	0.004
 Directorio de D:\respaldo maquina on M825016\Parametros 2008\IMPACTOS TODAS LAS CARTERAS\esc3_modccf	" 1 archivos      3,953,152 bytes"	0.004
 Directorio de D:\respaldo maquina on M825016\Parametros 2008\IMPACTOS TODAS LAS CARTERAS\esc3_modkfactborrar	" 1 archivos      3,949,056 bytes"	0.004
 Directorio de D:\Financiera\QUITAS	" 7 archivos      3,928,576 bytes"	0.004
 Directorio de D:\respaldo maquina on M825016\2007\ACUMULADA 2007\ACUMULADA 2006	" 6 archivos      3,928,096 bytes"	0.004
 Directorio de D:\respaldo maquina on M825016\2007\ACUMULADA 2007\SEVERIDAD\entrega_ago\EAD	" 2 archivos      3,912,192 bytes"	0.004
 Directorio de D:\Financiera\CASTIGOS	" 9 archivos      3,862,016 bytes"	0.004
 Directorio de D:\respaldo maquina on M825016\contingencia\resumen cifras\reest_bnc_fnz\NUEVA_PD_REEST\TODAS_99	"10 archivos      3,852,836 bytes"	0.004
 Directorio de D:\fe4afb7e122ddcbd9f10a2ba3750f1\amd64	" 7 archivos      3,845,598 bytes"	0.004
 Directorio de D:\Negocio2011\Info micro	" 2 archivos      3,822,153 bytes"	0.004
 Directorio de D:\TDC_RARCIERRE2011\BHS\Banco	"17 archivos      3,810,535 bytes"	0.004
 Directorio de D:\Calibraciones Consumo 2013\Codigos de calibracion y consumo\calibraciones nuevos modelos	" 5 archivos      3,794,337 bytes"	0.004
 Directorio de D:\Calibraciones2012\Modelo Actual	" 3 archivos      3,793,408 bytes"	0.004
 Directorio de D:\Contingencia_Hipotecario\DOCS	"10 archivos      3,785,346 bytes"	0.004
 Directorio de D:\hipotecas\MILTON\ANTERIOR	" 3 archivos      3,765,562 bytes"	0.004
 Directorio de D:\work	" 4 archivos      3,750,974 bytes"	0.003
 Directorio de D:\respaldo maquina on M825016\SAS	"19 archivos      3,734,888 bytes"	0.003
 Directorio de D:\Bancarias2011\2011	" 4 archivos      3,724,800 bytes"	0.003
 Directorio de D:\TDC2014\Calibraciones Reactivas\Alex\2. Excel Banco	"13 archivos      3,721,189 bytes"	0.003
 Directorio de D:\Personal hga\banamex	"13 archivos      3,716,738 bytes"	0.003
 Directorio de D:\respaldo maquina on M825016\Parametros 2008\IMPACTOS TODAS LAS CARTERAS\consumo\ESC3CONKFACTMOD	" 1 archivos      3,713,536 bytes"	0.003
 Directorio de D:\Personal hga\Comprobantes\Transferencias	"49 archivos      3,706,807 bytes"	0.003
 Directorio de D:\GpoInnova2014	"13 archivos      3,646,329 bytes"	0.003
 Directorio de D:\PD's por score\Finanzia	" 2 archivos      3,573,191 bytes"	0.003
 Directorio de D:\Financiera_Ayudamos\2012\Validaciones	" 7 archivos      3,512,320 bytes"	0.003
 Directorio de D:\RAR3\Documentaci¢n\LGD	" 6 archivos      3,462,920 bytes"	0.003
 Directorio de D:\GDrive\Deep Learning_	" 2 archivos      3,448,966 bytes"	0.003
 Directorio de D:\respaldo maquina on M825016\Cod varios\Manual PD	" 1 archivos      3,445,760 bytes"	0.003
 Directorio de D:\respaldo maquina on M825016\Contingencia dany\reest\Manual PD	" 1 archivos      3,445,760 bytes"	0.003
 Directorio de D:\BIS	" 3 archivos      3,442,727 bytes"	0.003
 Directorio de D:\Respaldo Jes£s\TerceraEstimaci¢n\Parametria\Ejemplo	" 9 archivos      3,440,505 bytes"	0.003
 Directorio de D:\B\Contingencia_Hipotecario\Resultados	"21 archivos      3,438,983 bytes"	0.003
 Directorio de D:\TDC2014\Entrega\Exceles\PDs\Finanzia	"10 archivos      3,429,287 bytes"	0.003
 Directorio de D:\GravityHipotecasV2\Resultados TU+CC	"29 archivos      3,381,950 bytes"	0.003
 Directorio de D:\Contingencia_Hipotecario\Resultados	"20 archivos      3,381,050 bytes"	0.003
 Directorio de D:\NvosModelosSP	" 6 archivos      3,362,553 bytes"	0.003
 Directorio de D:\respaldo maquina on M825016\2007\TDC NEGOCIOS\SEV_PREFINAL\final	" 4 archivos      3,302,912 bytes"	0.003
 Directorio de D:\RAR2010\Severidad Tarjetas\2010\Costos	"11 archivos      3,295,744 bytes"	0.003
 Directorio de D:\respaldo maquina on M825016\contingencia\resumen cifras\reest_bnc_fnz\NUEVA_PD_REEST\JUSTIFICACI‡N\ejercicio I	" 6 archivos      3,259,904 bytes"	0.003
 Directorio de D:\Mis documentos\Descargas	" 5 archivos      3,235,081 bytes"	0.003
 Directorio de D:\GravityHipotecasV2\Presentaci¢n PPT	" 4 archivos      3,203,168 bytes"	0.003
 Directorio de D:\Financiera_Ayudamos\2012	" 6 archivos      3,192,320 bytes"	0.003
 Directorio de D:\Calibraciones2012\Nuevo Modelo\parametr°a	" 5 archivos      3,185,152 bytes"	0.003
 Directorio de D:\Calibraciones TDC 2013\CalibracionesV01_2014\Calibraciones Reactivas\Versi¢n_3\Banco	"22 archivos      3,146,830 bytes"	0.003
 Directorio de D:\Presentaci¢nSep2010	" 9 archivos      3,145,216 bytes"	0.003
 Directorio de D:\Personal hga\sueldos_salarios_conceptos_asimilados	" 8 archivos      3,128,456 bytes"	0.003
 Directorio de D:\Bancarias2011\2011\Resultados\roc°o\RESUMEN	" 3 archivos      3,125,248 bytes"	0.003
 Directorio de D:\respaldo maquina on M825016\RAR\BBVA Bancomer Junio 2007 en 150.100.118.167\Anexos2	"12 archivos      3,124,741 bytes"	0.003
 Directorio de D:\GDrive\multi	" 6 archivos      3,088,767 bytes"	0.003
 Directorio de D:\TDC2014\LGD\R2	"14 archivos      3,071,499 bytes"	0.003
 Directorio de D:\Financiera\BasesMar09\ReporteOriginaci¢n	" 1 archivos      3,063,672 bytes"	0.003
 Directorio de D:\respaldo maquina on M825016\severidad\FNZ	" 7 archivos      3,046,247 bytes"	0.003
 Directorio de D:\GravityHipotecasV2\Modelo Ingresos MILA	" 2 archivos      2,976,543 bytes"	0.003
 Directorio de D:\TDC2014\Calibraciones BHS TSM\Doc	" 4 archivos      2,960,398 bytes"	0.003
 Directorio de D:\respaldo maquina on M825016\severidad\SEVERIDAD AUD	"13 archivos      2,941,697 bytes"	0.003
 Directorio de D:\Calibraciones TDC 2013\CalibracionesV01_2014\Calibraciones Reactivas\Versi¢n_3\Finanzia	"20 archivos      2,920,632 bytes"	0.003
 Directorio de D:\PDSaldoTDC_cierre2012	" 3 archivos      2,908,112 bytes"	0.003
 Directorio de D:\RAR2010\Severidad Tarjetas\2010\Ciclos_Migraci¢n	" 3 archivos      2,892,734 bytes"	0.003
 Directorio de D:\Hip\contingencia	" 7 archivos      2,874,225 bytes"	0.003
 Directorio de D:\respaldo maquina on M825016\contingencia\resumen cifras\reest_bnc_fnz\NUEVA_PD_REEST\JUSTIFICACI‡N	"12 archivos      2,870,272 bytes"	0.003
 Directorio de D:\Infonacot\corrigiendo sus moras	" 7 archivos      2,869,760 bytes"	0.003
 Directorio de D:\Personal hga\usb\Personal	" 9 archivos      2,844,467 bytes"	0.003
 Directorio de D:\Programas\Foxit Reader\Shell Extensions	" 2 archivos      2,832,368 bytes"	0.003
 Directorio de D:\GravityHipotecasV2\Nueva Segmentaci¢n\S2\Proyecto	" 1 archivos      2,829,293 bytes"	0.003
 Directorio de D:\Respaldo Enrique\Gravity Hipoteca\Bases	" 3 archivos      2,778,941 bytes"	0.003
 Directorio de D:\Contingencia 2011	"17 archivos      2,772,465 bytes"	0.003
 Directorio de D:\TDC2014\TSA	"13 archivos      2,772,077 bytes"	0.003
 Directorio de D:\respaldo maquina on M825016\RAR\BBVA Bancomer Junio 2007 en 150.100.118.167\Anexos1	"16 archivos      2,750,038 bytes"	0.003
 Directorio de D:\Personal hga\hsbc\Estados de Cuenta	" 2 archivos      2,733,045 bytes"	0.003
 Directorio de D:\Respaldo Jes£s\TerceraEstimaci¢n\CCFS	" 2 archivos      2,726,901 bytes"	0.003
 Directorio de D:\Personal hga\Santander	" 5 archivos      2,716,694 bytes"	0.003
 Directorio de D:\Multivariada\claudia	" 3 archivos      2,710,671 bytes"	0.003
 Directorio de D:\TDC2014\Parametr°aTSM\Entrega 04Sep2014	" 4 archivos      2,707,269 bytes"	0.003
 Directorio de D:\Negocio2010\2010\R10\pd	" 6 archivos      2,693,120 bytes"	0.003
 Directorio de D:\Personal hga\libros\Riesgo Actuarial	" 1 archivos      2,657,823 bytes"	0.002
 Directorio de D:\PR	" 5 archivos      2,656,256 bytes"	0.002
 Directorio de D:\respaldo maquina on M825016\RAR\BBVA Bancomer Junio 2007 en 150.100.118.167\Anexos3	"16 archivos      2,655,452 bytes"	0.002
 Directorio de D:\Entrega Nayeli\MODELO TOY_GLOBAL\Books\Recreaci¢n	" 2 archivos      2,624,509 bytes"	0.002
 Directorio de D:\B\Consumo\C2013\VentasCartera\VRS	" 3 archivos      2,596,517 bytes"	0.002
 Directorio de D:\Financiera\BasesAbr09\PD PrÇstamos 2007	" 1 archivos      2,553,344 bytes"	0.002
 Directorio de D:\fe4afb7e122ddcbd9f10a2ba3750f1\i386	" 7 archivos      2,544,094 bytes"	0.002
 Directorio de D:\B\Contingencia_Hipotecario\Bases\Ventas cartera	" 4 archivos      2,533,908 bytes"	0.002
 Directorio de D:\Contingencia_Hipotecario\Bases\Ventas cartera	" 4 archivos      2,533,908 bytes"	0.002
 Directorio de D:\RAR3\Documentaci¢n	"10 archivos      2,529,792 bytes"	0.002
 Directorio de D:\Financiera\Bases_sep09	" 3 archivos      2,529,129 bytes"	0.002
 Directorio de D:\Personal hga\Comprobantes\Banamex	"14 archivos      2,525,978 bytes"	0.002
 Directorio de D:\TDC2014\TSM\validaciones\herrs\Sa£l	" 1 archivos      2,521,606 bytes"	0.002
 Directorio de D:\respaldo maquina on M825016\contingencia\resumen cifras\reest_bnc_fnz\NUEVA_PD_REEST\TODAS_99\SEV	" 9 archivos      2,520,511 bytes"	0.002
 Directorio de D:\Respaldo Jes£s\Estimacion_Final\Entregables\Documentacion	" 8 archivos      2,505,631 bytes"	0.002
 Directorio de D:\Plan de Estudios	" 8 archivos      2,498,179 bytes"	0.002
 Directorio de D:\Calibraciones TDC 2013\CalibracionesV01_2014\Poder Discriminante\BHS	" 1 archivos      2,488,931 bytes"	0.002
 Directorio de D:\NvosModelosSP\InfoRAR\Estim2014	" 4 archivos      2,470,950 bytes"	0.002
 Directorio de D:\CalibracionesHipotecas2014\Proyecto	" 7 archivos      2,464,832 bytes"	0.002
 Directorio de D:\Financiera_Ayudamos\2011	"10 archivos      2,444,380 bytes"	0.002
 Directorio de D:\Personal hga\Comprobantes\h2o\2012	" 5 archivos      2,435,269 bytes"	0.002
 Directorio de D:\Venta de Cartera Hipotecaria\TiempoAdjudicaci¢nProm	" 3 archivos      2,434,749 bytes"	0.002
 Directorio de D:\Personal hga\Comprobantes\BBVA\TDC\Estados de Cuenta\2012	"12 archivos      2,425,798 bytes"	0.002
 Directorio de D:\GDrive\NuevoEjeCalibConsumo2013\exceles\ac\m12	"16 archivos      2,422,981 bytes"	0.002
 Directorio de D:\NuevoEjeCalibConsumo2013\exceles\ac\m12	"16 archivos      2,422,981 bytes"	0.002
 Directorio de D:\Personal hga\Comprobantes\Renta	"31 archivos      2,420,231 bytes"	0.002
 Directorio de D:\Presentaci¢n_Nov2011	" 4 archivos      2,417,152 bytes"	0.002
 Directorio de D:\Calibraciones2012\BHS	"15 archivos      2,415,104 bytes"	0.002
" Directorio de D:\GDrive\NuevoEjeCalibConsumo2013\exceles\m1,2"	"16 archivos      2,409,800 bytes"	0.002
" Directorio de D:\NuevoEjeCalibConsumo2013\exceles\m1,2"	"16 archivos      2,409,800 bytes"	0.002
 Directorio de D:\Temporal\cc1	"15 archivos      2,406,586 bytes"	0.002
 Directorio de D:\PRUEBA	" 2 archivos      2,401,402 bytes"	0.002
 Directorio de D:\BackTesting BIS 2014	"10 archivos      2,398,286 bytes"	0.002
 Directorio de D:\GrupoInnovaci¢n\dh\2012	" 9 archivos      2,376,192 bytes"	0.002
 Directorio de D:\Bancarias2011\2011\quitas	" 2 archivos      2,368,000 bytes"	0.002
 Directorio de D:\Correo\Ricardo	" 1 archivos      2,364,416 bytes"	0.002
 Directorio de D:\GDrive\BIS	" 5 archivos      2,361,708 bytes"	0.002
 Directorio de D:\Personal hga\Comprobantes\ph\2011	"11 archivos      2,358,295 bytes"	0.002
 Directorio de D:\B\Contingencia_Hipotecario\Bases\Soluciones_Hip	" 1 archivos      2,351,540 bytes"	0.002
 Directorio de D:\Contingencia_Hipotecario\Bases\Soluciones_Hip	" 1 archivos      2,351,540 bytes"	0.002
 Directorio de D:\ArreglaScorecards\Correcci¢n MaxMopUlt6M	" 3 archivos      2,314,788 bytes"	0.002
 Directorio de D:\GDrive\ArreglaScorecards\Correcci¢n MaxMopUlt6M	" 3 archivos      2,314,788 bytes"	0.002
 Directorio de D:\GDrive\fotos\cometa	"16 archivos      2,309,114 bytes"	0.002
 Directorio de D:\Personal hga\mk	"33 archivos      2,299,839 bytes"	0.002
 Directorio de D:\Temporal\Score PyME	" 3 archivos      2,289,664 bytes"	0.002
 Directorio de D:\respaldo maquina on M825016\severidad\lgd6vf D DANY\pruebacurvas_borrar	"17 archivos      2,275,328 bytes"	0.002
 Directorio de D:\Mis documentos\Mis im†genes\fotos oficiales jornadas 2006	" 6 archivos      2,248,259 bytes"	0.002
 Directorio de D:\GDrive\im†genes	"13 archivos      2,235,307 bytes"	0.002
 Directorio de D:\respaldo maquina on M825016\BH_Recalibracion	" 7 archivos      2,218,133 bytes"	0.002
 Directorio de D:\respaldo maquina on M825016\contingencia\BH_Recalibracion	" 7 archivos      2,218,133 bytes"	0.002
 Directorio de D:\GravityHipotecasV2\v1\Documentaci¢n	" 3 archivos      2,215,500 bytes"	0.002
 Directorio de D:\Personal hga\Comprobantes\HSBC	"32 archivos      2,207,384 bytes"	0.002
 Directorio de D:\ArreglaScorecards\Ejemplos Inconsistencias	" 3 archivos      2,205,491 bytes"	0.002
 Directorio de D:\GDrive\ArreglaScorecards\Ejemplos Inconsistencias	" 3 archivos      2,205,491 bytes"	0.002
 Directorio de D:\Cuaderno Par†metros\consumo	" 5 archivos      2,205,184 bytes"	0.002
 Directorio de D:\Muestra DANF\Info	"21 archivos      2,171,137 bytes"	0.002
 Directorio de D:\TDC2014\Calibraciones BHS TSA\Automatizaci¢nReportes\Tablas_Graficos_Doc	" 2 archivos      2,163,959 bytes"	0.002
 Directorio de D:\Venta de Cartera Hipotecaria\ResultadosClaudia	" 3 archivos      2,156,993 bytes"	0.002
 Directorio de D:\Personal hga\Comprobantes\Telmex	"31 archivos      2,135,832 bytes"	0.002
